item,org,date,quantity
3959313,1619228,2014-05-01,1464.0
3959313,1619228,2014-06-01,1535.0
3959313,1619228,2014-07-01,1889.0
3959313,1619228,2014-08-01,1877.0
3959313,1619228,2014-09-01,2172.0
3959313,1619228,2014-10-01,1902.0
3959313,1619228,2014-11-01,1788.0
3959313,1619228,2014-12-01,1648.0
3959313,1619228,2015-01-01,1189.0
3959313,1619228,2015-02-01,2438.0
3959313,1619228,2015-03-01,1985.0
3959313,1619228,2015-04-01,1908.0
3959313,1619228,2015-05-01,1305.0
3959313,1619228,2015-06-01,1674.0
3959313,1619228,2015-07-01,1957.0
3959313,1619228,2015-08-01,1744.0
3959313,1619228,2015-09-01,2071.0
3959313,1619228,2015-10-01,1778.0
3959313,1619228,2015-11-01,1452.0
3959313,1619228,2015-12-01,2273.0
3959313,1619228,2016-01-01,1342.0
3959313,1619228,2016-02-01,2631.0
3959313,1619228,2016-03-01,1930.0
3959313,1619228,2016-04-01,1656.0
3959313,1619228,2016-05-01,1958.0
3959313,1619228,2016-06-01,2063.0
3959313,1619228,2016-07-01,2029.0
3959313,1619228,2016-08-01,1958.0
3959313,1619228,2016-09-01,2389.0
3959313,1619228,2016-10-01,2772.0
3959313,1619228,2016-11-01,2600.0
3959313,1619228,2016-12-01,2860.0
3959313,1619228,2017-01-01,1683.0
3959313,1619228,2017-02-01,1774.0
3959313,1619228,2017-03-01,1825.0
3959313,1619228,2017-04-01,1546.0
3959313,1619228,2017-05-01,2026.0
3959313,1619228,2017-06-01,2001.0
3959313,1619228,2017-07-01,2583.0
3959313,1619228,2017-08-01,1850.0
3959313,1619228,2017-09-01,1285.0
3959313,1619228,2017-10-01,1430.0
3959313,1619228,2017-11-01,1489.0
3959313,1619228,2017-12-01,1259.0
3959313,1619228,2018-01-01,1298.0
3959313,1619228,2018-02-01,1082.0
3959313,1619228,2018-03-01,1195.0
3959313,1619228,2018-04-01,1845.0
3959313,1619228,2018-05-01,1406.0
3959313,1619228,2018-06-01,1560.0
3959313,1619228,2018-07-01,1792.0
3959313,1619228,2018-08-01,1514.0
3959313,1619228,2018-09-01,1616.0
3959313,1619228,2018-10-01,2094.0
3959313,1619228,2018-11-01,1408.0
3959313,1619228,2018-12-01,1618.0
3959313,1619228,2019-01-01,1310.0
3959313,1619228,2019-02-01,889.0
3959313,1619228,2019-03-01,1472.0
3959313,1619228,2019-04-01,1476.0
3959313,1619228,2019-05-01,1669.0
3959313,1619228,2019-06-01,1490.0
3959313,1619228,2019-07-01,1624.0
3959313,1619228,2019-08-01,1585.0
3959313,1619228,2019-09-01,1362.0
3959313,1619228,2019-10-01,1408.0
3959313,1619228,2019-11-01,1081.0
3959313,1619228,2019-12-01,723.0
3959313,1619228,2020-01-01,1188.0
3959313,1619228,2020-02-01,1227.0
3959313,1619228,2020-03-01,1499.0
3959313,1619228,2020-04-01,873.0
3959313,1619228,2020-05-01,1343.0
3959313,1619228,2020-06-01,1536.0
3959313,1619228,2020-07-01,1871.0
3959313,1619228,2020-08-01,1240.0
3959313,1619228,2020-09-01,1404.0
3959313,1619228,2020-10-01,2128.0
3959313,1619228,2020-11-01,1348.0
3959313,1619228,2020-12-01,1652.0
3959313,1619228,2021-01-01,645.0
3959313,1619228,2021-02-01,1836.0
3959313,40022636,2014-03-01,1089.0
3959313,40022636,2014-04-01,1275.0
3959313,40022636,2014-05-01,1738.0
3959313,40022636,2014-06-01,1324.0
3959313,40022636,2014-07-01,1276.0
3959313,40022636,2014-08-01,1509.0
3959313,40022636,2014-09-01,1246.0
3959313,40022636,2014-10-01,1223.0
3959313,40022636,2014-11-01,1264.0
3959313,40022636,2014-12-01,1327.0
3959313,40022636,2015-01-01,921.0
3959313,40022636,2015-02-01,1115.0
3959313,40022636,2015-03-01,1078.0
3959313,40022636,2015-04-01,967.0
3959313,40022636,2015-05-01,1105.0
3959313,40022636,2015-06-01,913.0
3959313,40022636,2015-07-01,1431.0
3959313,40022636,2015-08-01,1858.0
3959313,40022636,2015-09-01,1394.0
3959313,40022636,2015-10-01,1203.0
3959313,40022636,2015-11-01,1284.0
3959313,40022636,2015-12-01,1442.0
3959313,40022636,2016-01-01,1244.0
3959313,40022636,2016-02-01,1916.0
3959313,40022636,2016-03-01,1658.0
3959313,40022636,2016-04-01,1175.0
3959313,40022636,2016-05-01,1474.0
3959313,40022636,2016-06-01,1697.0
3959313,40022636,2016-07-01,1403.0
3959313,40022636,2016-08-01,1994.0
3959313,40022636,2016-09-01,1928.0
3959313,40022636,2016-10-01,2622.0
3959313,40022636,2016-11-01,1857.0
3959313,40022636,2016-12-01,1636.0
3959313,40022636,2017-01-01,1184.0
3959313,40022636,2017-02-01,1805.0
3959313,40022636,2017-03-01,2436.0
3959313,40022636,2017-04-01,1349.0
3959313,40022636,2017-05-01,1556.0
3959313,40022636,2017-06-01,1805.0
3959313,40022636,2017-07-01,1866.0
