,bid2val,N,alpha,gamma,egreedy,design,asynchronous,feedback,num_actions,counterfactual
11,0.9333333333333333,2,0.1,0.99,0,0,0,1,16,
12,0.8,2,0.01,0.99,1,0,0,1,6,
13,1.0,6,0.1,0.0,0,1,0,0,16,
14,0.8,2,0.1,0.0,1,0,1,1,6,
15,0.8,2,0.1,0.0,1,0,1,1,6,
16,1.0,6,0.1,0.0,1,0,0,0,6,
17,1.0,6,0.1,0.99,0,0,0,0,6,
18,0.8,2,0.1,0.99,0,0,1,1,6,
19,0.9333333333333333,2,0.01,0.0,1,0,1,1,16,
20,0.26666666666666666,2,0.01,0.0,0,1,1,1,16,
21,0.9333333333333333,6,0.1,0.0,0,0,1,1,16,
22,1.0,6,0.1,0.0,1,1,0,0,6,
23,0.7333333333333333,2,0.1,0.99,0,1,1,1,16,
24,1.0,2,0.01,0.99,1,1,0,1,6,
25,1.0,6,0.1,0.99,0,1,1,1,6,
26,1.0,6,0.1,0.0,0,0,1,0,6,
27,0.8,6,0.1,0.99,1,1,1,0,6,
28,0.8,6,0.1,0.99,1,0,1,1,6,
29,0.8666666666666667,2,0.01,0.99,0,1,1,1,16,
30,0.9333333333333333,6,0.1,0.99,0,0,0,0,16,
31,0.8,6,0.01,0.99,0,0,0,1,6,
32,0.8666666666666667,2,0.1,0.0,0,1,1,0,16,
33,0.8,6,0.1,0.99,1,0,1,0,6,
34,0.8,6,0.01,0.0,1,1,1,0,6,
35,0.4666666666666667,2,0.1,0.99,1,1,1,1,16,
36,0.2,2,0.01,0.99,1,1,1,1,6,
37,0.9333333333333333,2,0.01,0.0,0,0,0,0,16,
38,1.0,6,0.01,0.0,0,1,0,0,16,
39,0.9333333333333333,6,0.1,0.0,1,1,1,0,16,
40,0.9333333333333333,6,0.1,0.99,1,0,1,0,16,
41,0.8,2,0.01,0.0,1,1,0,1,6,
42,1.0,6,0.1,0.0,0,1,0,1,16,
43,1.0,2,0.1,0.99,1,1,0,1,6,
44,1.0,6,0.01,0.0,1,1,0,0,6,
45,0.8,2,0.01,0.0,0,1,0,1,6,
46,0.9333333333333333,6,0.01,0.0,0,0,0,1,16,
47,0.8666666666666667,2,0.01,0.99,1,1,0,0,16,
48,1.0,6,0.1,0.99,1,0,1,1,6,
49,0.9333333333333333,6,0.01,0.0,0,1,1,1,16,
50,1.0,6,0.01,0.99,1,1,0,0,16,
51,0.9333333333333333,6,0.1,0.0,0,0,1,1,16,
52,1.0,2,0.01,0.99,0,1,0,0,6,
53,0.8,6,0.01,0.99,1,0,0,0,6,
54,0.9333333333333333,6,0.1,0.0,1,1,1,0,16,
55,0.9333333333333333,6,0.01,0.99,0,1,1,1,16,
56,0.8666666666666667,2,0.1,0.0,0,1,0,0,16,
57,0.8,6,0.01,0.0,0,0,0,0,6,
58,0.8,2,0.1,0.99,0,0,0,0,6,
59,0.8,2,0.01,0.99,0,1,0,0,6,
60,0.8,6,0.1,0.99,0,0,0,0,6,
61,0.9333333333333333,6,0.1,0.99,0,1,1,1,16,
62,0.13333333333333333,2,0.01,0.0,1,1,1,0,16,
63,1.0,6,0.1,0.99,1,1,0,1,6,
64,0.6,2,0.01,0.99,0,1,1,0,6,
65,0.9333333333333333,2,0.1,0.0,1,0,0,0,16,
66,0.8,6,0.1,0.0,0,0,0,0,6,
67,0.9333333333333333,2,0.1,0.0,0,0,0,1,16,
68,0.9333333333333333,2,0.1,0.99,0,0,0,0,16,
69,1.0,6,0.1,0.99,0,0,0,0,6,
70,0.9333333333333333,2,0.01,0.0,1,1,0,1,16,
71,0.9333333333333333,6,0.1,0.0,1,0,1,1,16,
72,0.8,6,0.01,0.99,0,0,1,0,6,
73,1.0,6,0.1,0.99,1,1,0,1,16,
74,1.0,2,0.1,0.99,0,1,0,0,6,
75,0.8,6,0.1,0.0,0,1,1,0,6,
76,1.0,2,0.1,0.0,1,1,1,1,6,
77,0.9333333333333333,6,0.1,0.99,0,1,1,1,16,
78,0.5333333333333333,2,0.1,0.0,0,1,1,0,16,
79,1.0,6,0.01,0.0,1,1,0,1,6,
80,0.9333333333333333,6,0.1,0.99,0,0,1,0,16,
81,0.6,2,0.01,0.99,1,1,1,0,6,
82,0.5333333333333333,2,0.1,0.99,0,1,1,1,16,
83,0.8666666666666667,2,0.01,0.99,1,1,1,0,16,
84,0.8,2,0.01,0.0,0,0,1,0,6,
85,0.9333333333333333,2,0.01,0.0,0,0,1,1,16,
86,0.4,2,0.1,0.0,0,1,1,0,16,
87,1.0,6,0.1,0.99,1,1,0,0,6,
88,1.0,6,0.1,0.0,0,1,0,0,16,
89,0.9333333333333333,2,0.01,0.99,1,0,1,0,16,
90,0.9333333333333333,6,0.1,0.0,1,0,0,1,16,
91,1.0,2,0.1,0.0,1,0,1,0,6,
92,0.8,6,0.01,0.99,0,1,1,1,6,
93,0.2,2,0.01,0.0,0,1,1,0,6,
94,0.9333333333333333,6,0.1,0.0,1,1,1,0,16,
95,0.8,6,0.01,0.99,0,1,1,0,6,
96,0.9333333333333333,2,0.1,0.99,1,0,0,0,16,
97,0.9333333333333333,6,0.1,0.0,0,0,0,1,16,
98,0.5333333333333333,2,0.01,0.0,0,1,1,0,16,
